,player,player_name,team,player_id,agents_count,agents,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,k_max,kills,deaths,assists,first_kills,first_deaths,kills_per_round,assist_per_rd,composite_score
20,Kicks,Kicks,VIT,11134,3,"['Kayo', 'Gekko', 'Breach']",151,1.05,187.1,0.92,72.0,120.2,0.63,0.5,0.06,0.07,24.0,22.0,22,95,103,75,9,11,0.63,0.5,51.81
21,Flashback,Flashback,DRX,35013,3,"['Cypher', 'Viper', 'Killjoy']",238,1.04,202.3,1.16,76.0,133.4,0.74,0.23,0.1,0.05,30.0,18.0,27,177,153,54,24,12,0.74,0.23,76.74
22,kiNgg,kiNgg,LEV,8549,3,"['Brimstone', 'Omen', 'Viper']",407,1.04,185.1,1.04,75.0,120.2,0.67,0.36,0.08,0.07,32.0,17.0,25,271,261,148,31,29,0.67,0.36,109.88
23,LuoK1ng,LuoK1ng,TE,3045,3,"['Omen', 'Brimstone', 'Astra']",208,1.04,201.6,1.1,74.0,131.3,0.75,0.35,0.07,0.04,33.0,0.0,27,155,141,73,15,9,0.75,0.35,68.95
24,heat,heat,KRÜ,8673,4,"['Breach', 'Sova', 'Fade', 'Gekko']",156,1.03,191.4,1.09,74.0,123.3,0.73,0.26,0.06,0.04,33.0,9.0,21,114,105,40,10,7,0.73,0.26,54.78
25,MaKo,MaKo,DRX,4462,3,"['Omen', 'Brimstone', 'Viper']",238,1.02,192.7,0.99,77.0,124.9,0.66,0.4,0.07,0.08,27.0,17.0,21,157,158,95,16,19,0.66,0.4,73.04
26,BuZz,BuZz,DRX,804,3,"['Jett', 'Raze', 'Neon']",238,1.01,241.3,1.11,68.0,149.7,0.83,0.17,0.22,0.2,23.0,17.0,24,198,178,40,53,47,0.83,0.17,98.88
27,Sacy,Sacy,SEN,659,3,"['Sova', 'Fade', 'Gekko']",361,1.01,190.1,0.9,74.0,128.8,0.61,0.45,0.07,0.08,23.0,21.0,19,222,247,162,26,29,0.61,0.45,100.74
28,Sayf,Sayf,VIT,312,3,"['Jett', 'Neon', 'Raze']",151,1.01,210.0,1.03,67.0,139.1,0.72,0.22,0.11,0.17,27.0,20.0,22,109,106,33,16,25,0.72,0.22,61.35
29,johnqt,johnqt,SEN,1265,3,"['Cypher', 'Deadlock', 'Viper']",361,1.0,162.2,1.01,74.0,106.9,0.59,0.28,0.07,0.06,24.0,18.0,23,214,212,101,27,22,0.59,0.28,89.78
30,valyn,valyn,G2,3885,4,"['Harbor', 'Omen', 'Brimstone', 'Astra']",200,0.99,191.2,0.99,72.0,118.4,0.7,0.34,0.07,0.07,23.0,18.0,25,139,140,67,13,13,0.7,0.34,64.86
31,S1Mon,S1Mon,EDG,13768,3,"['Breach', 'Fade', 'Kayo']",449,0.99,164.5,0.89,76.0,109.1,0.57,0.49,0.06,0.04,29.0,20.0,24,256,287,220,29,16,0.57,0.49,106.89
32,Karon,Karon,GEN,34974,4,"['Omen', 'Astra', 'Brimstone', 'Viper']",153,0.99,180.4,1.0,73.0,114.8,0.67,0.42,0.07,0.07,32.0,19.0,23,103,103,64,11,10,0.67,0.42,52.38
33,cNed,cNed,FUT,573,2,"['Jett', 'Raze']",88,0.99,222.3,0.99,67.0,151.4,0.77,0.13,0.18,0.14,25.0,0.0,21,68,69,11,16,12,0.77,0.12,48.88
34,Wo0t,Wo0t,TH,21328,6,"['Gekko', 'Fade', 'Omen', 'Skye', 'Kayo', 'Breach']",552,0.99,189.6,0.97,75.0,124.2,0.66,0.39,0.07,0.09,36.0,18.0,25,363,376,213,39,49,0.66,0.39,147.14
35,Zellsis,Zellsis,SEN,729,5,"['Breach', 'Cypher', 'Brimstone', 'Killjoy', 'Kayo']",361,0.98,175.1,0.93,73.0,111.8,0.61,0.41,0.07,0.09,23.0,14.0,22,220,236,149,24,34,0.61,0.41,96.83
36,hiro,hiro,FNC,29867,3,"['Fade', 'Viper', 'Cypher']",293,0.98,185.2,1.02,73.0,118.8,0.66,0.28,0.06,0.08,28.0,16.0,21,193,190,83,19,24,0.66,0.28,83.91
37,ban,ban,TLN,5129,4,"['Skye', 'Phoenix', 'Deadlock', 'Cypher']",85,0.98,184.0,1.04,72.0,118.5,0.68,0.2,0.08,0.08,38.0,8.0,18,58,56,17,7,7,0.68,0.2,37.7
38,C0M,C0M,LEV,619,3,"['Viper', 'Sova', 'Fade']",407,0.98,192.8,0.95,70.0,136.3,0.64,0.27,0.08,0.08,25.0,14.0,22,260,274,109,31,31,0.64,0.27,112.99
39,Boo,Boo,TH,1144,6,"['Astra', 'Brimstone', 'Fade', 'Viper', 'Omen', 'Sage']",552,0.98,180.2,0.95,74.0,113.8,0.64,0.38,0.08,0.06,31.0,14.0,24,354,372,210,46,33,0.64,0.38,141.83
40,MiniBoo,MiniBoo,TH,18350,4,"['Jett', 'Raze', 'Yoru', 'Neon']",552,0.97,206.0,0.99,69.0,134.5,0.72,0.18,0.16,0.16,30.0,14.0,24,398,403,97,87,88,0.72,0.18,175.35
